"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Newfoundland and Labrador,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",7.9,7.5,6.4,6.6,8.4
Newfoundland and Labrador,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",659.9,669.7,668.3,671.1,676.1
Newfoundland and Labrador,Chained (2007) dollars,Crop and animal production [11A]  (13),96,61.7,93.5,103.5,88.6
Newfoundland and Labrador,Chained (2007) dollars,Forestry and logging [113],71,74.4,72,68.5,69.7
Newfoundland and Labrador,Chained (2007) dollars,"Fishing, hunting and trapping [114]",237,210.5,203.5,186,154.8
Newfoundland and Labrador,Chained (2007) dollars,Support activities for agriculture and forestry [115],22,20.9,22.8,21.2,20.8
Newfoundland and Labrador,Chained (2007) dollars,Oil and gas extraction [211],5923.3,5534.6,4677.1,5787.4,6076.8
Newfoundland and Labrador,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],2802.3,2361.2,2810.5,2701.8,2756.6
Newfoundland and Labrador,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],200.5,205,193.6,205.9,238.3
Newfoundland and Labrador,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",528,520.6,560.9,565.5,577
Newfoundland and Labrador,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",35.7,35.3,35.2,35.4,35.4
Newfoundland and Labrador,Chained (2007) dollars,Residential building construction [23A]  (20),566.7,518.9,464.8,419.8,396.3
Newfoundland and Labrador,Chained (2007) dollars,Non-residential building construction [23B]  (20),407.4,352.8,366.8,228.6,195.8
Newfoundland and Labrador,Chained (2007) dollars,Engineering construction [23C]  (20),1179.2,1496.1,1506.1,1517.3,1680.5
Newfoundland and Labrador,Chained (2007) dollars,Repair construction [23D]  (20),181.5,198.3,178.9,182.7,182.1
Newfoundland and Labrador,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),14.4,15.4,14.6,12.4,12.6
Newfoundland and Labrador,Chained (2007) dollars,Food manufacturing [311],273,271.6,274.1,272.9,267.8
Newfoundland and Labrador,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],97.6,97.8,95.2,95,95.2
Newfoundland and Labrador,Chained (2007) dollars,Textile and textile product mills [31A]  (23),2.5,3,5.1,6.3,7.6
Newfoundland and Labrador,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),16.8,14.5,4.1,5.1,4.4
Newfoundland and Labrador,Chained (2007) dollars,Wood product manufacturing [321],19.3,17.3,16.6,18.6,19.1
Newfoundland and Labrador,Chained (2007) dollars,Paper manufacturing [322],32.7,47.3,44.6,40.3,40.2
Newfoundland and Labrador,Chained (2007) dollars,Printing and related support activities [323],13.3,10.2,10.7,10.6,10.2
Newfoundland and Labrador,Chained (2007) dollars,Petroleum and coal product manufacturing [324],321.6,261.2,289,275.3,336.8
Newfoundland and Labrador,Chained (2007) dollars,Chemical manufacturing [325],9.9,5.8,7.2,8.9,11.7
Newfoundland and Labrador,Chained (2007) dollars,Plastics and rubber products manufacturing [326],14.5,14.6,15.1,8.1,7.4
Newfoundland and Labrador,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],20.1,22.2,31.2,35.6,39.1
Newfoundland and Labrador,Chained (2007) dollars,Primary metal manufacturing [331],0.2,0.1,25.9,47.1,90.3
Newfoundland and Labrador,Chained (2007) dollars,Fabricated metal product manufacturing [332],62.7,86.5,79.3,42.8,14.2
Newfoundland and Labrador,Chained (2007) dollars,Machinery manufacturing [333],18.5,23.2,17.7,15.8,16.3
Newfoundland and Labrador,Chained (2007) dollars,Computer and electronic product manufacturing [334],18,14.5,11.6,9.6,11.2
Newfoundland and Labrador,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",3,3,4,3.3,4.5
Newfoundland and Labrador,Chained (2007) dollars,Transportation equipment manufacturing [336],40.8,47.3,39.5,8.9,8.6
Newfoundland and Labrador,Chained (2007) dollars,Furniture and related product manufacturing [337],14.4,12.6,11.9,11.5,9.7
Newfoundland and Labrador,Chained (2007) dollars,Miscellaneous manufacturing [339],12.4,11,10.5,10.3,11.9
Newfoundland and Labrador,Chained (2007) dollars,Farm product wholesaler-distributors [411],0.1,0,0,0,0
Newfoundland and Labrador,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],32,28.7,34.7,32.9,34
Newfoundland and Labrador,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",101.3,85.1,96,98,97.2
Newfoundland and Labrador,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],29.1,28.9,29.2,28.8,31.4
Newfoundland and Labrador,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],35.9,42.9,47.9,45.3,48
Newfoundland and Labrador,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],179.1,180.4,163.8,152.7,158.1
Newfoundland and Labrador,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",278.3,288.7,265.1,199.4,204.2
Newfoundland and Labrador,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],67.6,72.1,72.9,58.3,62.2
Newfoundland and Labrador,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",15,20.2,20,17.2,17.6
Newfoundland and Labrador,Chained (2007) dollars,Motor vehicle and parts dealers [441],240.6,255.2,265.8,267.6,288.5
Newfoundland and Labrador,Chained (2007) dollars,Furniture and home furnishings stores [442],49.8,42,40.3,39.5,37.8
Newfoundland and Labrador,Chained (2007) dollars,Electronics and appliance stores [443],35.5,36,33.8,32.1,30.1
Newfoundland and Labrador,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],113.4,116.8,111.2,109.5,118.4
Newfoundland and Labrador,Chained (2007) dollars,Food and beverage stores [445],352.8,359.3,362.2,361.2,345.6
Newfoundland and Labrador,Chained (2007) dollars,Health and personal care stores [446],126.1,124.7,132,138.3,141.8
Newfoundland and Labrador,Chained (2007) dollars,Gasoline stations [447],122.3,132,129.1,135.6,134.9
Newfoundland and Labrador,Chained (2007) dollars,Clothing and clothing accessories stores [448],97.1,101.5,103.3,104.6,102.1
Newfoundland and Labrador,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",31.1,31.2,35.5,33.7,31.3
Newfoundland and Labrador,Chained (2007) dollars,General merchandise stores [452],239.7,242.4,242.9,228.6,224
Newfoundland and Labrador,Chained (2007) dollars,Miscellaneous store retailers [453],38.1,43,46.2,49,50.1
Newfoundland and Labrador,Chained (2007) dollars,Non-store retailers [454],37.1,30.2,40.6,45.2,50.3
Newfoundland and Labrador,Chained (2007) dollars,Air transportation [481],80.1,91.1,96.7,106.3,113.2
Newfoundland and Labrador,Chained (2007) dollars,Rail transportation [482],32.5,62.7,70.2,69.4,72.7
Newfoundland and Labrador,Chained (2007) dollars,Water transportation [483],156.7,160.9,163.4,154.5,158.9
Newfoundland and Labrador,Chained (2007) dollars,Truck transportation [484],124.8,137.1,138.6,132.7,139
Newfoundland and Labrador,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",42.5,43.2,42.8,39.2,38.6
Newfoundland and Labrador,Chained (2007) dollars,Support activities for transportation [488],208.5,221.3,227.2,233.7,242.5
Newfoundland and Labrador,Chained (2007) dollars,Pipeline transportation [486],0,0,0,0,0
Newfoundland and Labrador,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",47.1,47.2,44.8,43.1,42.3
Newfoundland and Labrador,Chained (2007) dollars,Warehousing and storage [493],14.9,16,14.8,16.4,15.1
Newfoundland and Labrador,Chained (2007) dollars,Publishing industries (except internet) [511],50.6,50.1,46.6,44.8,43
Newfoundland and Labrador,Chained (2007) dollars,Motion picture and sound recording industries [512],14.5,15.7,11.9,11.7,11
Newfoundland and Labrador,Chained (2007) dollars,Broadcasting (except internet) [515],38.3,36.2,33.2,34,31.8
Newfoundland and Labrador,Chained (2007) dollars,Telecommunications [517],485.3,500.1,496.6,492.8,488.3
Newfoundland and Labrador,Chained (2007) dollars,"Data processing, hosting, and related services [518]",0.4,0.4,0.3,0.3,0.3
Newfoundland and Labrador,Chained (2007) dollars,Other information services [519],13.9,14.6,15.8,16.5,17
Newfoundland and Labrador,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),452.3,453.8,456.9,468.4,492.9
Newfoundland and Labrador,Chained (2007) dollars,Non-depository credit intermediation [5222],37.9,34.5,33.8,36.5,39
Newfoundland and Labrador,Chained (2007) dollars,Activities related to credit intermediation [5223],30.5,29.5,31,30.9,27.9
Newfoundland and Labrador,Chained (2007) dollars,Insurance carriers and related activities [524],230.9,220.8,228.8,242,224.8
Newfoundland and Labrador,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",99,103.9,113,119,107.1
Newfoundland and Labrador,Chained (2007) dollars,Real estate [531],2070.4,2148.1,2201.8,2233.5,2276.9
Newfoundland and Labrador,Chained (2007) dollars,Rental and leasing services [532],101.1,135.4,134,140,137.9
Newfoundland and Labrador,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],11.2,11.1,12.1,12,11.7
Newfoundland and Labrador,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",194.3,205.5,234.2,224.1,219
Newfoundland and Labrador,Chained (2007) dollars,"Architectural, engineering and related services [5413]",169.1,187.7,153.8,148.2,140.3
